STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,ANNUAL,DATA_FLAG,UNITS
5SI,M,2,RAIN,,19900101,5.60,, ,INCHES
5SI,M,2,RAIN,,19900201,4.69,, ,INCHES
5SI,M,2,RAIN,,19900301,3.09,, ,INCHES
5SI,M,2,RAIN,,19900401,2.32,, ,INCHES
5SI,M,2,RAIN,,19900501,3.16,, ,INCHES
5SI,M,2,RAIN,,19900601,0.08,, ,INCHES
5SI,M,2,RAIN,,19900701,0.57,, ,INCHES
5SI,M,2,RAIN,,19900801,0.19,, ,INCHES
5SI,M,2,RAIN,,19900901,0.65,, ,INCHES
5SI,M,2,RAIN,,19901001,0.28,30.53, ,INCHES
5SI,M,2,RAIN,,19901101,1.59,30.53, ,INCHES
5SI,M,2,RAIN,,19901201,1.89,30.53, ,INCHES
5SI,M,2,RAIN,,19910101,0.82,30.53, ,INCHES
5SI,M,2,RAIN,,19910201,2.17,30.53, ,INCHES
5SI,M,2,RAIN,,19910301,18.98,30.53, ,INCHES
5SI,M,2,RAIN,,19910401,1.32,30.53, ,INCHES
5SI,M,2,RAIN,,19910501,2.29,30.53, ,INCHES
5SI,M,2,RAIN,,19910601,0.89,30.53, ,INCHES
5SI,M,2,RAIN,,19910701,0.03,30.53, ,INCHES
5SI,M,2,RAIN,,19910801,0.02,30.53, ,INCHES
5SI,M,2,RAIN,,19910901,0.25,30.53, ,INCHES
5SI,M,2,RAIN,,19911001,4.24,29.55, ,INCHES
5SI,M,2,RAIN,,19911101,2.17,29.55, ,INCHES
5SI,M,2,RAIN,,19911201,3.24,29.55, ,INCHES
5SI,M,2,RAIN,,19920101,2.03,29.55, ,INCHES
5SI,M,2,RAIN,,19920201,8.81,29.55, ,INCHES
5SI,M,2,RAIN,,19920301,4.39,29.55, ,INCHES
5SI,M,2,RAIN,,19920401,0.47,29.55, ,INCHES
5SI,M,2,RAIN,,19920501,0.27,29.55, ,INCHES
5SI,M,2,RAIN,,19920601,0.99,29.55, ,INCHES
5SI,M,2,RAIN,,19920701,2.88,29.55, ,INCHES
5SI,M,2,RAIN,,19920801,0.03,29.55, ,INCHES
5SI,M,2,RAIN,,19920901,0.03,29.55, ,INCHES
5SI,M,2,RAIN,,19921001,4.17,53.00, ,INCHES
5SI,M,2,RAIN,,19921101,0.27,53.00, ,INCHES
5SI,M,2,RAIN,,19921201,11.67,53.00, ,INCHES
5SI,M,2,RAIN,,19930101,15.68,53.00, ,INCHES
5SI,M,2,RAIN,,19930201,10.39,53.00, ,INCHES
5SI,M,2,RAIN,,19930301,5.71,53.00, ,INCHES
5SI,M,2,RAIN,,19930401,1.80,53.00, ,INCHES
5SI,M,2,RAIN,,19930501,0.94,53.00, ,INCHES
5SI,M,2,RAIN,,19930601,2.37,53.00, ,INCHES
5SI,M,2,RAIN,,19930701,0.00,53.00, ,INCHES
5SI,M,2,RAIN,,19930801,0.00,53.00, ,INCHES
5SI,M,2,RAIN,,19930901,0.00,53.00, ,INCHES
5SI,M,2,RAIN,,19931001,1.51,24.05, ,INCHES
5SI,M,2,RAIN,,19931101,2.32,24.05, ,INCHES
5SI,M,2,RAIN,,19931201,2.79,24.05, ,INCHES
5SI,M,2,RAIN,,19940101,2.47,24.05, ,INCHES
5SI,M,2,RAIN,,19940201,7.18,24.05, ,INCHES
5SI,M,2,RAIN,,19940301,1.37,24.05, ,INCHES
5SI,M,2,RAIN,,19940401,3.40,24.05, ,INCHES
5SI,M,2,RAIN,,19940501,2.03,24.05, ,INCHES
5SI,M,2,RAIN,,19940601,0.01,24.05, ,INCHES
5SI,M,2,RAIN,,19940701,0.00,24.05, ,INCHES
5SI,M,2,RAIN,,19940801,0.00,24.05, ,INCHES
5SI,M,2,RAIN,,19940901,0.97,24.05, ,INCHES
5SI,M,2,RAIN,,19941001,2.31,69.60, ,INCHES
5SI,M,2,RAIN,,19941101,8.47,69.60, ,INCHES
5SI,M,2,RAIN,,19941201,4.03,69.60, ,INCHES
5SI,M,2,RAIN,,19950101,19.17,69.60, ,INCHES
5SI,M,2,RAIN,,19950201,1.70,69.60, ,INCHES
5SI,M,2,RAIN,,19950301,19.47,69.60, ,INCHES
5SI,M,2,RAIN,,19950401,7.10,69.60, ,INCHES
5SI,M,2,RAIN,,19950501,5.71,69.60, ,INCHES
5SI,M,2,RAIN,,19950601,1.55,69.60, ,INCHES
5SI,M,2,RAIN,,19950701,0.09,69.60, ,INCHES
5SI,M,2,RAIN,,19950801,0.00,69.60, ,INCHES
5SI,M,2,RAIN,,19950901,0.00,69.60, ,INCHES
5SI,M,2,RAIN,,19951001,0.04,43.46, ,INCHES
5SI,M,2,RAIN,,19951101,0.17,43.46, ,INCHES
5SI,M,2,RAIN,,19951201,8.12,43.46, ,INCHES
5SI,M,2,RAIN,,19960101,10.37,43.46, ,INCHES
5SI,M,2,RAIN,,19960201,11.23,43.46, ,INCHES
5SI,M,2,RAIN,,19960301,5.50,43.46, ,INCHES
5SI,M,2,RAIN,,19960401,3.97,43.46, ,INCHES
5SI,M,2,RAIN,,19960501,3.22,43.46, ,INCHES
5SI,M,2,RAIN,,19960601,0.59,43.46, ,INCHES
5SI,M,2,RAIN,,19960701,0.12,43.46, ,INCHES
