"QUERY: data.usbr.gov/rise/api/result/download?type=csv&itemId=10772&before=2020-03-02&after=1955-03-01&filename=Folsom%20Lake%20Dam%20and%20Powerplant%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20(1955-03-01%20-%202020-03-01)&order=ASC","","","","","",""
"DOWNLOAD DATE: 2021-11-21","","","","","",""
"#SITE INFORMATION#","","","","","",""
"Location","State","Coordinates","Timezone","Location Type","",""
"Folsom Lake Dam and Powerplant","CA","[-121.183, 38.683]","PT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1900","cfs","daily","average","1955-03-01 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1866","cfs","daily","average","1955-03-02 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2135","cfs","daily","average","1955-03-03 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1933","cfs","daily","average","1955-03-04 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1950","cfs","daily","average","1955-03-05 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1846","cfs","daily","average","1955-03-06 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1800","cfs","daily","average","1955-03-07 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1810","cfs","daily","average","1955-03-08 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1840","cfs","daily","average","1955-03-09 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2253","cfs","daily","average","1955-03-10 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2500","cfs","daily","average","1955-03-11 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2730","cfs","daily","average","1955-03-12 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","3000","cfs","daily","average","1955-03-13 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2860","cfs","daily","average","1955-03-14 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2690","cfs","daily","average","1955-03-15 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2650","cfs","daily","average","1955-03-16 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2100","cfs","daily","average","1955-03-17 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2030","cfs","daily","average","1955-03-18 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2050","cfs","daily","average","1955-03-19 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","2050","cfs","daily","average","1955-03-20 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","1050","cfs","daily","average","1955-03-21 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","370","cfs","daily","average","1955-03-22 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","370","cfs","daily","average","1955-03-23 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","410","cfs","daily","average","1955-03-24 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","366","cfs","daily","average","1955-03-25 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","350","cfs","daily","average","1955-03-26 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","650","cfs","daily","average","1955-03-27 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","500","cfs","daily","average","1955-03-28 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","300","cfs","daily","average","1955-03-29 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","360","cfs","daily","average","1955-03-30 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","345","cfs","daily","average","1955-03-31 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","300","cfs","daily","average","1955-04-01 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","320","cfs","daily","average","1955-04-02 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","330","cfs","daily","average","1955-04-03 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","340","cfs","daily","average","1955-04-04 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","350","cfs","daily","average","1955-04-05 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","330","cfs","daily","average","1955-04-06 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","275","cfs","daily","average","1955-04-07 08:00:00"
"Folsom Lake Dam and Powerplant","Lake/Reservoir Release - Total","280","cfs","daily","average","1955-04-08 08:00:00"
